BUGID,FNAME,CHURN,LOC
26098,qtbase/tests/auto/corelib/plugin/qpluginloader/tst_qpluginloader.cpp,12,171
22256,qtbase/src/widgets/graphicsview/qgraphicsitem.cpp,18,5034
22256,qtbase/src/widgets/graphicsview/qgraphicsitem_p.h,2.5,655
22256,qtbase/tests/auto/widgets/graphicsview/qgraphicsitem/tst_qgraphicsitem.cpp,68.5,8931
15794,qtbase/tests/auto/network/access/qnetworkcookie/tst_qnetworkcookie.cpp,25,527
15794,qtbase/src/network/access/qnetworkcookiejar.cpp,10,117
15794,qtbase/src/network/access/qnetworkcookie.cpp,86,526
4057,qtbase/src/corelib/tools/qdatetime.cpp,16.5,2843
4057,qtbase/tests/auto/corelib/tools/qdatetime/tst_qdatetime.cpp,38,1326
23269,qtbase/tests/auto/widgets/dialogs/qfiledialog/tst_qfiledialog.cpp,2,944
23269,qtbase/tests/benchmarks/corelib/tools/qstring/fromlatin1.cpp,5,28375
23269,qtbase/src/gui/kernel/qplatformdialoghelper.cpp,2,394
23269,qtbase/tests/auto/corelib/io/qsettings/tst_qsettings.cpp,4,1766
23269,qtbase/tests/auto/widgets/dialogs/qfiledialog2/tst_qfiledialog2.cpp,2,670
23269,qtbase/tests/manual/lance/widgets.h,2,225
23269,qtbase/qmake/property.cpp,1,154
23269,qtbase/src/network/socket/qlocalsocket_tcp.cpp,1,341
23269,qtbase/src/widgets/dialogs/qfiledialog.cpp,2,1893
23269,qtbase/src/network/socket/qlocalserver_tcp.cpp,3,71
23269,qtbase/tests/auto/network/access/qabstractnetworkcache/tst_qabstractnetworkcache.cpp,1,281
27462,qtbase/src/tools/uic/cpp/cppwriteinitialization.cpp,3.5,2107
27864,qtbase/src/plugins/platforms/windows/qwindowsmousehandler.cpp,4.5,197
26187,qtbase/src/plugins/platforms/windows/accessible/qwindowsaccessibility.cpp,15,123
26187,qtbase/src/plugins/platforms/windows/accessible/qwindowsmsaaaccessible.cpp,1,947
23037,qtbase/src/printsupport/dialogs/qpagesetupdialog_unix.cpp,47.5,420
23037,qtbase/src/printsupport/dialogs/qpagesetupdialog_unix_p.h,2,35
23037,qtbase/src/printsupport/dialogs/qprintdialog_unix.cpp,184.5,435
27355,qtbase/src/corelib/thread/qthread.h,1,61
26730,qtbase/tests/auto/tools/uic/tst_uic.cpp,80,141
27199,qtbase/src/widgets/kernel/qwidgetwindow.cpp,3,430
27199,qtbase/tests/auto/widgets/widgets/qdoublespinbox/tst_qdoublespinbox.cpp,1,867
27199,qtbase/tests/auto/widgets/widgets/qmenu/tst_qmenu.cpp,0.5,668
27199,qtbase/tests/auto/widgets/kernel/qwidget/tst_qwidget.cpp,4.5,6703
26628,qtbase/src/tools/qdoc/cppcodemarker.cpp,3.5,1186
26628,qtbase/src/tools/qdoc/htmlgenerator.cpp,3,3872
26190,qtbase/src/widgets/widgets/qspinbox.cpp,13.5,545
28285,qtbase/src/corelib/kernel/qobjectdefs_impl.h,1,297
28285,qtbase/tests/auto/corelib/kernel/qobject/tst_qobject.cpp,26.5,4372
27825,qtbase/src/plugins/platforms/windows/qwindowsfontengine.cpp,3.5,976
27825,qtbase/src/plugins/platforms/windows/qwindowsfontdatabase.cpp,1,1451
28131,qtbase/src/corelib/kernel/qmetaobjectbuilder.cpp,5,1558
28131,qtbase/qmake/meta.cpp,3,146
28131,qtbase/src/corelib/doc/snippets/code/doc_src_plugins-howto.cpp,8.5,23
28131,qtbase/tools/configure/configureapp.cpp,1.5,3240
28131,qtbase/src/corelib/kernel/qmetatype.h,2,459
20984,qtbase/tests/auto/other/macgui/tst_macgui.cpp,1,134
26668,qtbase/src/dbus/qdbusxmlparser.cpp,78,246
26668,qtbase/tests/auto/dbus/qdbusxmlparser/tst_qdbusxmlparser.cpp,49.5,363
20094,qtbase/src/widgets/widgets/qmenu.cpp,5,2050
22286,qtbase/tests/auto/widgets/widgets/qabstractbutton/tst_qabstractbutton.cpp,5,457
26952,qtbase/src/opengl/qgl.cpp,1,2285
27655,qtbase/src/widgets/styles/qfusionstyle.cpp,12,12
22320,qtbase/tests/auto/widgets/widgets/qtabbar/tst_qtabbar.cpp,2,481
