BUGID,FNAME,CHURN,LOC
27444,qt3d/src/quick3d/qquickitem3d.cpp,17.5,851
25355,qt3d/src/imports/threed/viewport.cpp,4,1256
17822,qt3d/tests/auto/imports/qspheremesh/tst_qspheremesh.cpp,1,121
17822,qt3d/src/threed/geometry/qglsphere.cpp,1,81
29158,qt3d/src/threed/math3d/qtriangle3d.cpp,12,84
22113,qt3d/src/imports/threed/viewport.cpp,4,1256
28716,qtactiveqt/src/activeqt/control/qaxserverbase.cpp,2.5,3313
30890,qtactiveqt/src/activeqt/control/qaxserverbase.cpp,2,3313
30055,qtbase/src/corelib/tools/qdatetime.cpp,4,2843
31137,qtbase/src/printsupport/dialogs/qabstractprintdialog.cpp,1.5,166
31137,qtbase/src/printsupport/doc/snippets/widgetprinting.cpp,18,36
30270,qtbase/src/tools/qdoc/ditaxmlgenerator.h,6.5,497
30270,qtbase/src/tools/qdoc/ditaxmlgenerator.cpp,18.5,5261
30270,qtbase/src/tools/qdoc/qmlvisitor.cpp,1,402
30270,qtbase/src/tools/qdoc/qdocindexfiles.cpp,3.5,3.5
30270,qtbase/src/tools/qdoc/qdocindexfiles.h,0.5,0.5
30270,qtbase/src/tools/qdoc/node.h,7.5,770
30270,qtbase/src/tools/qdoc/generator.cpp,7,1630
30270,qtbase/src/tools/qdoc/codeparser.cpp,1,289
30270,qtbase/src/tools/qdoc/generator.h,3.5,169
30270,qtbase/src/tools/qdoc/htmlgenerator.h,2.5,225
30270,qtbase/src/tools/qdoc/qdocdatabase.h,3.5,3.5
30270,qtbase/src/tools/qdoc/codemarker.h,2,122
30270,qtbase/src/tools/qdoc/codemarker.cpp,16.5,500
30270,qtbase/src/tools/qdoc/qdocdatabase.cpp,48,48
30270,qtbase/src/tools/qdoc/htmlgenerator.cpp,29,3872
31418,qtbase/src/plugins/platforms/xcb/qxcbxsettings.cpp,11,11
30046,qtbase/src/corelib/io/qfilesystemengine_win.cpp,6.5,842
30046,qtbase/tests/auto/corelib/io/qdir/tst_qdir.cpp,9,1294
30046,qtbase/src/corelib/io/qfilesystemengine_unix.cpp,5.5,347
22026,qtbase/src/corelib/tools/qset.h,6,262
22026,qtbase/tests/benchmarks/corelib/tools/qset/main.cpp,70.5,70.5
30922,qtbase/src/plugins/platforms/windows/qwindowsmousehandler.cpp,2,197
4057,qtbase/src/corelib/io/qdatastream.h,2,309
4057,qtbase/src/corelib/tools/qdatetime.cpp,7,2843
4057,qtbase/tests/auto/corelib/tools/qdatetime/tst_qdatetime.cpp,20,1326
4057,qtbase/tests/auto/corelib/io/qdatastream/tst_qdatastream.cpp,3,2400
4057,qtbase/src/corelib/io/qdatastream.cpp,3,410
23566,qtbase/src/corelib/kernel/qvariant.h,47,417
23566,qtbase/tests/auto/corelib/kernel/qvariant/tst_qvariant.cpp,82.5,2573
23566,qtbase/src/corelib/kernel/qmetatype.cpp,6,1129
23566,qtbase/src/corelib/kernel/qvariant.cpp,101.5,1484
23566,qtbase/src/corelib/doc/snippets/code/src_corelib_kernel_qvariant.cpp,15,51
23566,qtbase/src/corelib/kernel/qmetatype.h,137,459
30063,qtbase/src/plugins/platforms/windows/qwindowscontext.cpp,11.5,602
30063,qtbase/src/plugins/platforms/windows/qwindowscontext.h,2,101
31173,qtbase/examples/opengl/grabber/mainwindow.cpp,1,135
31173,qtbase/src/opengl/qgl.cpp,3.5,2285
29904,qtbase/tests/manual/dialogs/main.cpp,1,1
29904,qtbase/tests/manual/dialogs/wizardpanel.h,34.5,34.5
29904,qtbase/src/plugins/platforms/windows/qwindowswindow.h,1.5,205
29904,qtbase/src/widgets/dialogs/qwizard_win.cpp,42.5,570
29904,qtbase/src/widgets/dialogs/qwizard_win_p.h,2.5,77
29904,qtbase/src/widgets/dialogs/qwizard.cpp,23,2060
29904,qtbase/tests/manual/dialogs/wizardpanel.cpp,180.5,180.5
29904,qtbase/src/plugins/platforms/windows/qwindowswindow.cpp,7.5,1254
29201,qtbase/src/plugins/platforms/qnx/qqnxintegration.cpp,0.5,163
29201,qtbase/src/plugins/platforms/qnx/qqnxscreen.cpp,6,285
29201,qtbase/src/plugins/platforms/qnx/qqnxscreen.h,0.5,59
28816,qtbase/src/widgets/kernel/qwidget.cpp,1.5,5033
30738,qtbase/src/gui/image/qpixmap.cpp,7.5,528
29917,qtbase/tests/auto/dbus/qdbusreply/tst_qdbusreply.cpp,12.5,262
29917,qtbase/src/dbus/qdbusreply.h,1,116
30125,qtbase/src/plugins/platforms/cocoa/messages.h,29,29
30125,qtbase/src/plugins/platforms/cocoa/messages.cpp,48,48
27028,qtbase/src/gui/image/qimagereader.cpp,2,609
27028,qtbase/src/gui/image/qimagewriter.cpp,1,284
31023,qtbase/examples/widgets/widgets/orientation/main.cpp,27.5,7
31023,qtbase/examples/widgets/widgets/applicationicon/main.cpp,25,7
31023,qtbase/examples/widgets/widgets/orientation/mainwindow.cpp,56,43
31023,qtbase/examples/widgets/widgets/orientation/mainwindow.h,37.5,18
27143,qtbase/src/printsupport/kernel/qprinter.cpp,2,651
28876,qtbase/src/widgets/styles/qstylehelper_p.h,0.5,18
28876,qtbase/src/widgets/styles/qwindowsvistastyle.cpp,24,2224
28876,qtbase/src/widgets/styles/qstylehelper.cpp,9,252
24345,qtbase/src/corelib/tools/qvarlengtharray.h,2,308
24345,qtbase/src/corelib/tools/qvector.h,6,606
24345,qtbase/src/corelib/tools/qbitarray.cpp,3,191
4845,qtbase/src/plugins/platforms/xcb/qxcbintegration.cpp,2.5,100
4845,qtbase/src/plugins/platforms/xcb/qxcbkeyboard.cpp,41.5,771
4845,qtbase/src/plugins/platforms/xcb/qxcbkeyboard.h,0.5,32
4845,qtbase/src/plugins/platforms/xcb/qxcbintegration.h,0.5,35
30271,qtbase/tests/auto/widgets/kernel/qwidget/tst_qwidget.cpp,6,6703
29993,qtbase/src/tools/qdoc/qmlvisitor.cpp,20.5,402
29993,qtbase/src/tools/qdoc/qmlvisitor.h,2.5,58
29329,qtbase/qmake/generators/win32/msvc_objectmodel.cpp,3,2573
11941,qtbase/src/corelib/plugin/qlibrary.cpp,7,338
11941,qtbase/src/corelib/plugin/qlibrary_p.h,2,39
30399,qtbase/src/widgets/widgets/qtoolbutton.cpp,2,553
30752,qtbase/src/android/jar/src/org/qtproject/qt5/android/QtActivityDelegate.java,3,3
29106,qtbase/src/plugins/platforms/xcb/qxcbwindow.cpp,2.5,1207
31218,qtbase/tests/auto/tools/moc/tst_moc.cpp,1.5,1491
31218,qtbase/src/tools/moc/moc.cpp,2.5,1328
30707,qtbase/src/plugins/platforms/windows/qtwindows_additional.h,2,13
30707,qtbase/src/plugins/platforms/windows/qwindowswindow.h,0.5,205
30707,qtbase/src/plugins/platforms/windows/qwindowswindow.cpp,23.5,1254
30301,qtbase/src/network/kernel/qnetworkinterface.cpp,1,239
29030,qtbase/src/widgets/kernel/qwidgetwindow.cpp,1,430
30996,qtbase/src/gui/kernel/qguiapplication.cpp,2,1569
30996,qtbase/src/plugins/platforms/windows/qwindowsintegration.cpp,1.5,266
28435,qtbase/src/widgets/dialogs/qwizard_win_p.h,3,77
28435,qtbase/src/widgets/dialogs/qwizard_win.cpp,7.5,570
30859,qtbase/qmake/generators/win32/msbuild_objectmodel.cpp,2,1703
30034,qtbase/src/widgets/styles/qfusionstyle_p_p.h,2,2
30034,qtbase/src/gui/kernel/qpalette.cpp,2,375
24783,qtbase/src/widgets/styles/qwindowsvistastyle.cpp,10,2224
30415,qtbase/src/gui/text/qfontdatabase.cpp,10,1546
30415,qtbase/src/platformsupport/fontdatabases/fontconfig/qfontconfigdatabase.cpp,2.5,603
30415,qtbase/src/gui/text/qfontdatabase_qpa.cpp,1.5,302
29134,qtbase/src/corelib/tools/qvector.h,1.5,606
29134,qtbase/tests/auto/corelib/tools/qvector/tst_qvector.cpp,39,1805
30993,qtbase/qmake/generators/win32/msvc_vcproj.cpp,22,1127
30517,qtbase/src/gui/image/qimage.h,2.5,157
29639,qtbase/src/gui/image/qpixmap.cpp,1,528
29639,qtbase/tests/auto/gui/image/qpixmap/tst_qpixmap.cpp,7.5,885
29565,qtbase/src/android/java/src/org/qtproject/qt5/android/bindings/QtActivity.java,2.5,2.5
16852,qtbase/src/tools/moc/moc.h,1,183
16852,qtbase/tests/auto/tools/moc/tst_moc.cpp,61.5,1491
16852,qtbase/src/corelib/doc/snippets/code/doc_src_properties.cpp,10.5,55
16852,qtbase/src/tools/moc/generator.cpp,18.5,1028
16852,qtbase/src/tools/moc/moc.cpp,6,1328
28973,qtbase/src/network/access/qnetworkaccessmanager.cpp,6.5,521
28508,qtbase/src/tools/qdoc/main.cpp,2,346
28508,qtbase/src/tools/qdoc/qdocindexfiles.cpp,2.5,2.5
30585,qtbase/src/network/bearer/qnetworkconfigmanager.cpp,3,99
28555,qtbase/src/gui/kernel/qwindow.cpp,16.5,791
28555,qtbase/tests/auto/gui/kernel/qwindow/tst_qwindow.cpp,8.5,732
28555,qtbase/src/gui/kernel/qwindow.h,1.5,188
28555,qtbase/src/gui/kernel/qwindow_p.h,0.5,73
13359,qtbase/src/plugins/platforms/windows/qwindowsservices.cpp,2,86
30610,qtbase/src/plugins/platformthemes/gtk2/qgtk2dialoghelpers.cpp,1,1
29101,qtbase/src/corelib/doc/snippets/resource-system/mainwindow.cpp,196,196
29101,qtbase/src/xml/doc/snippets/rsslisting/rsslisting.cpp,125.5,89
29101,qtbase/src/xml/doc/snippets/rsslisting/listing.cpp,125.5,125.5
29101,qtbase/src/xml/sax/qxml.cpp,1,5060
28806,qtbase/src/gui/text/qfontdatabase.cpp,10,1546
28806,qtbase/src/platformsupport/fontdatabases/fontconfig/qfontconfigdatabase.cpp,2.5,603
28806,qtbase/src/gui/text/qfontdatabase_qpa.cpp,1.5,302
28574,qtbase/src/plugins/platforms/cocoa/qcocoahelpers.h,1,43
28439,qtbase/tests/auto/widgets/widgets/qmdiarea/tst_qmdiarea.cpp,0.5,1953
28439,qtbase/src/plugins/platforms/windows/qwindowswindow.h,0.5,205
28439,qtbase/examples/opengl/hellowindow/hellowindow.cpp,1.5,221
28439,qtbase/tests/auto/widgets/kernel/qwidget/tst_qwidget.cpp,2,6703
28439,qtbase/src/plugins/platforms/windows/qwindowswindow.cpp,2,1254
8176,qtbase/tests/auto/widgets/itemviews/qtreeview/tst_qtreeview.cpp,25,3257
8176,qtbase/src/widgets/itemviews/qtreeview.cpp,16,2576
29776,qtbase/src/corelib/plugin/qlibrary.cpp,4.5,338
29776,qtbase/src/corelib/kernel/qcore_mac_p.h,0.5,42
29776,qtbase/tests/auto/corelib/plugin/qpluginloader/tst_qpluginloader.cpp,24.5,171
29776,qtbase/src/corelib/plugin/qlibrary_p.h,1,39
29776,qtbase/tests/auto/corelib/plugin/qpluginloader/lib/mylib.c,3,4
29776,qtbase/tests/auto/corelib/plugin/qpluginloader/theplugin/theplugin.cpp,3,4
29102,qtbase/tests/auto/sql/models/qsqltablemodel/tst_qsqltablemodel.cpp,34,1278
29102,qtbase/src/sql/models/qsqltablemodel.cpp,7.5,658
29102,qtbase/src/sql/models/qsqltablemodel_p.h,0.5,126
30865,qtbase/src/gui/text/qfontmetrics.cpp,9.5,606
28863,qtbase/src/widgets/styles/qgtkstyle.cpp,1,2690
28863,qtbase/src/widgets/styles/qwindowsstyle.cpp,0.5,2343
28863,qtbase/src/widgets/styles/qcommonstyle.cpp,5,4958
28863,qtbase/src/widgets/widgets/qspinbox.cpp,0.5,545
28863,qtbase/src/widgets/widgets/qdatetimeedit.cpp,8,1496
28863,qtbase/src/widgets/widgets/qabstractspinbox.cpp,19,1161
1573,qtbase/src/widgets/widgets/qfontcombobox.cpp,49.5,251
31021,qtbase/src/tools/qdoc/ditaxmlgenerator.cpp,6.5,5261
31021,qtbase/src/tools/qdoc/qdocindexfiles.cpp,3.5,3.5
31021,qtbase/src/tools/qdoc/htmlgenerator.cpp,5.5,3872
31021,qtbase/src/tools/qdoc/node.h,1.5,770
31021,qtbase/src/tools/qdoc/text.cpp,2.5,210
31046,qtbase/src/widgets/dialogs/qprogressdialog.cpp,0.5,418
31046,qtbase/tests/auto/widgets/dialogs/qprogressdialog/tst_qprogressdialog.cpp,5.5,75
29056,qtbase/src/gui/kernel/qopenglcontext.cpp,12.5,446
29888,qtbase/src/widgets/styles/qwindowsxpstyle.cpp,23.5,3232
29888,qtbase/src/widgets/styles/qwindowsxpstyle_p_p.h,2,2
29950,qtbase/tests/auto/widgets/util/qscroller/tst_qscroller.cpp,4,349
28528,qtbase/src/widgets/kernel/qapplication.cpp,2,2194
20668,qtbase/src/network/ssl/qsslcontext.cpp,20.5,20.5
20668,qtbase/src/network/ssl/qsslconfiguration.h,2,51
20668,qtbase/src/network/ssl/qsslsocket_openssl.cpp,5,858
20668,qtbase/src/network/ssl/qsslsocket_openssl_symbols_p.h,1,137
20668,qtbase/src/network/ssl/qsslcontext_p.h,2.5,2.5
20668,qtbase/src/network/ssl/qssl.cpp,4,2
20668,qtbase/tests/auto/network/access/qnetworkreply/tst_qnetworkreply.cpp,29.5,5048
20668,qtbase/src/network/ssl/qsslsocket.cpp,1,947
20668,qtbase/src/network/ssl/qssl.h,1.5,41
20668,qtbase/src/network/ssl/qsslconfiguration_p.h,3,31
20668,qtbase/src/network/ssl/qsslconfiguration.cpp,32.5,140
20668,qtbase/src/network/ssl/qsslsocket_openssl_symbols.cpp,2,357
31336,qtbase/src/plugins/platforms/cocoa/qt_mac_p.h,7.5,129
31336,qtbase/src/widgets/widgets/qmenu.cpp,15.5,2050
31336,qtbase/src/widgets/widgets/qmenu_p.h,1,103
29354,qtbase/src/tools/qdoc/config.h,0.5,72
29354,qtbase/src/tools/qdoc/htmlgenerator.h,4.5,225
29354,qtbase/src/tools/qdoc/htmlgenerator.cpp,30,3872
30037,qtbase/src/corelib/tools/qvarlengtharray.h,1,308
30037,qtbase/src/corelib/tools/qvector.h,3,606
30037,qtbase/src/corelib/tools/qbitarray.cpp,1.5,191
30744,qtbase/src/plugins/platforms/windows/qwindowscontext.cpp,1.5,602
30744,qtbase/src/plugins/platforms/windows/qwindowswindow.h,3.5,205
30744,qtbase/tests/auto/widgets/kernel/qwidget/tst_qwidget.cpp,15,6703
30744,qtbase/src/plugins/platforms/windows/qwindowswindow.cpp,30.5,1254
28985,qtbase/tests/auto/corelib/io/qurl/tst_qurl.cpp,4,2617
29583,qtbase/src/plugins/platforms/cocoa/qnsview.h,1,44
29583,qtbase/tests/auto/widgets/kernel/qtooltip/tst_qtooltip.cpp,2,99
29583,qtbase/src/plugins/platforms/cocoa/qcocoawindow.h,2,72
28615,qtbase/src/gui/text/qfontengineglyphcache_p.h,1.5,18
28615,qtbase/src/platformsupport/fontdatabases/mac/qfontengine_coretext_p.h,7.5,53
26887,qtbase/src/gui/kernel/qwindowsysteminterface_p.h,2.5,275
26887,qtbase/tests/auto/widgets/kernel/qwidget/tst_qwidget.cpp,13,6703
26887,qtbase/src/gui/kernel/qguiapplication.cpp,3.5,1569
26887,qtbase/src/widgets/kernel/qapplication.cpp,23,2194
2216,qtbase/src/widgets/itemviews/qstyleditemdelegate.cpp,22,322
2216,qtbase/tests/auto/widgets/itemviews/qitemdelegate/tst_qitemdelegate.cpp,65.5,1024
2216,qtbase/src/widgets/itemviews/qitemdelegate.cpp,22,759
29014,qtbase/tests/auto/corelib/tools/qstring/tst_qstring.cpp,5,4342
29014,qtbase/tests/auto/testlib/selftests/tst_selftests.cpp,3.5,603
29014,qtbase/tests/auto/widgets/dialogs/qfilesystemmodel/tst_qfilesystemmodel.cpp,27.5,664
30822,qtbase/qmake/generators/win32/msbuild_objectmodel.cpp,5.5,1703
31326,qtbase/src/gui/opengl/qopenglshaderprogram.cpp,6,1326
31326,qtbase/src/opengl/qglshaderprogram.cpp,5,1351
30872,qtbase/src/corelib/thread/qmutex.cpp,2,202
29569,qtbase/src/tools/qdoc/cppcodeparser.cpp,4.5,1961
29569,qtbase/src/tools/qdoc/cppcodemarker.cpp,5,1186
29569,qtbase/src/tools/qdoc/ditaxmlgenerator.cpp,1,5261
29569,qtbase/src/tools/qdoc/qmlvisitor.cpp,7.5,402
29569,qtbase/src/tools/qdoc/tree.cpp,2,1822
29569,qtbase/src/tools/qdoc/node.h,6,770
29569,qtbase/src/tools/qdoc/node.cpp,1,1845
29569,qtbase/src/tools/qdoc/qdocdatabase.h,0.5,0.5
