BUGID,FNAME,CHURN,LOC
30890,qtactiveqt/src/activeqt/control/qaxserverbase.cpp,2,3285
29918,qtactiveqt/src/activeqt/container/filterwidget.cpp,30.5,222
29918,qtactiveqt/src/activeqt/container/filterwidget_p.h,26.5,54
29918,qtactiveqt/src/activeqt/shared/qaxutils.cpp,26.5,141
29918,qtactiveqt/src/activeqt/shared/qaxutils_p.h,26.5,16
30055,qtbase/src/corelib/tools/qdatetime.cpp,4,2872
31137,qtbase/src/printsupport/dialogs/qabstractprintdialog.cpp,1.5,166
31137,qtbase/src/printsupport/doc/snippets/widgetprinting.cpp,18,54
30270,qtbase/src/tools/qdoc/ditaxmlgenerator.h,6.5,438
30270,qtbase/src/tools/qdoc/ditaxmlgenerator.cpp,18.5,4968
30270,qtbase/src/tools/qdoc/qmlvisitor.cpp,1,423
30270,qtbase/src/tools/qdoc/qdocindexfiles.cpp,3.5,994
30270,qtbase/src/tools/qdoc/qdocindexfiles.h,0.5,40
30270,qtbase/src/tools/qdoc/node.h,7.5,825
30270,qtbase/src/tools/qdoc/generator.cpp,7,1531
30270,qtbase/src/tools/qdoc/codeparser.cpp,1,283
30270,qtbase/src/tools/qdoc/generator.h,3.5,167
30270,qtbase/src/tools/qdoc/htmlgenerator.h,2.5,185
30270,qtbase/src/tools/qdoc/qdocdatabase.h,3.5,162
30270,qtbase/src/tools/qdoc/codemarker.h,2,121
30270,qtbase/src/tools/qdoc/codemarker.cpp,16.5,497
30270,qtbase/src/tools/qdoc/qdocdatabase.cpp,48,735
30270,qtbase/src/tools/qdoc/htmlgenerator.cpp,29,3746
31418,qtbase/src/plugins/platforms/xcb/qxcbxsettings.cpp,11,196
5301,qtbase/qmake/generators/win32/msvc_vcproj.h,0.5,85
5301,qtbase/qmake/generators/win32/msvc_vcproj.cpp,7,1162
5301,qtbase/qmake/generators/win32/msvc_objectmodel.h,6,963
5301,qtbase/qmake/generators/win32/msbuild_objectmodel.cpp,1.5,1719
5301,qtbase/qmake/generators/win32/msvc_objectmodel.cpp,14,2618
30046,qtbase/src/corelib/io/qfilesystemengine_win.cpp,6.5,894
