FILE,TLOC,VG,CHURN,ADD,DEL,TPC,AGE,LAST,BFC,PRE,BEFORE,REFAC,NS_SUM,NS_MAX,NF_SUM,NF_MAX,POST,AFTER
qt3d/src/threed/math3d/qtriangle3d.cpp,84,16,68,34,34,2,651,87,0,0,0,0,13,11,451,436,2,1
qt3d/tutorials/qt3d/cube2/cubeview.cpp,17,3,12,6,6,1,532,87,0,0,0,0,11,11,436,436,0,0
qt3d/src/quick3d/capsulemesh.cpp,176,31,83,42,41,4,294,87,0,0,0,0,23,11,578,436,0,0
qt3d/src/quick3d/qquickmesh.cpp,393,89,54,27,27,3,275,87,0,0,0,0,21,11,521,436,0,0
qt3d/tests/auto/threed/qglattributeset/tst_qglattributeset.cpp,139,20,50,25,25,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/code/ObjFileParser.h,52,0,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/examples/quick3d/moon/main.cpp,4,1,12,6,6,1,630,87,0,0,0,0,11,11,436,436,0,0
qt3d/tutorials/qt3d/penguin/modelview.h,16,1,12,6,6,1,532,87,0,0,0,0,11,11,436,436,0,0
qt3d/examples/qt3d/geometry/geometry.h,11,1,12,6,6,1,630,87,0,0,0,0,11,11,436,436,0,0
qt3d/tests/auto/threed/qglpickcolors/tst_qglpickcolors.cpp,190,26,48,24,24,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/demos/qt3d/photobrowser3d/thumbnailnode.cpp,176,33,52,26,26,2,630,87,0,0,0,0,17,11,548,436,0,0
qt3d/src/threed/geometry/qglteapot.cpp,17,3,48,24,24,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/src/quick3d/qquickmesh.h,62,1,55,27,28,2,275,9,0,0,0,0,13,11,529,436,0,0
qt3d/3rdparty/assimp/code/HMPLoader.h,30,0,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/demos/qt3d/teaservice/teaservice.cpp,280,31,50,25,25,1,630,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/code/FileSystemFilter.h,118,27,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/demos/qt3d/photobrowser3d/buttons.cpp,81,6,48,24,24,1,630,87,0,0,0,0,11,11,436,436,0,0
qt3d/src/threed/viewing/qglcameraanimation.cpp,336,49,76,39,37,3,651,87,0,0,0,0,24,11,611,436,0,0
qt3d/src/threed/scene_ai/qailoader.h,40,0,54,29,25,2,230,9,0,0,0,0,13,11,529,436,0,0
qt3d/tests/manual/model3ds/main.cpp,4,1,50,25,25,1,593,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/code/BlenderLoader.cpp,663,140,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/src/threed/math3d/qsphere3d.h,82,12,70,35,35,3,651,9,0,0,0,0,15,11,544,436,0,0
qt3d/3rdparty/assimp/include/IOSystem.h,42,5,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/tests/auto/threed/qgllightparameters/tst_qgllightparameters.cpp,199,6,92,46,46,3,651,87,0,1,1,0,20,11,560,436,0,0
qt3d/src/imports/threed/billboarditem3d.cpp,58,10,58,30,28,3,432,87,0,0,0,0,21,11,521,436,0,0
qt3d/3rdparty/assimp/code/BaseProcess.h,112,19,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/tests/auto/qml3d/tst_qml3d.cpp,1,0,50,25,25,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/src/threed/arrays/qglindexbuffer.cpp,417,94,48,24,24,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/contrib/unzip/crypt.h,29,4,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/qnan.h,27,4,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/tutorials/qt3d/cube3/main.cpp,8,1,12,6,6,1,532,87,0,0,0,0,11,11,436,436,0,0
qt3d/tools/gencube/genobjcube.cpp,57,5,154,130,24,2,163,87,0,0,0,0,14,11,448,436,0,0
qt3d/src/threed/scene/qglscenenode.h,122,0,74,37,37,3,651,9,0,0,0,0,19,11,641,436,0,0
qt3d/examples/qt3d/nesting/cubeview.cpp,113,7,12,6,6,1,630,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/contrib/irrXML/irrString.h,386,105,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/GenVertexNormalsProcess.cpp,119,28,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/src/threed/textures/qgltexturecube.cpp,210,53,50,25,25,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/src/threed/scene/qglscenenode.cpp,1006,224,64,32,32,2,651,87,0,0,0,0,17,11,548,436,0,0
qt3d/examples/qt3d/teapot/teapotview.h,15,1,12,6,6,1,630,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/code/TerragenLoader.h,19,0,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/src/threed/painting/qmatrix4x4stack_p.h,12,1,48,24,24,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/include/aiScene.h,117,30,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/Q3BSPFileImporter.h,47,0,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/include/aiVector2D.h,84,26,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/MDCNormalTable.h,259,0,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/BlenderDNA.cpp,199,35,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/3DSLoader.cpp,861,220,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/contrib/zlib/trees.c,521,125,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/src/threed/arrays/qvector3darray.cpp,85,18,60,30,30,2,651,87,0,0,0,0,17,11,548,436,0,0
qt3d/3rdparty/assimp/code/OgreXmlHelper.h,57,13,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/tests/auto/threed/qglabstractsurface/tst_qglabstractsurface.cpp,162,12,48,24,24,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/include/aiMaterial.h,194,6,5,3,2,1,651,180,0,0,0,0,7,7,63,63,0,0
qt3d/examples/qt3d/cylinder/cylinderview.cpp,49,4,12,6,6,1,630,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/code/MDLFileData.h,347,15,7,5,2,1,651,180,0,0,0,0,7,7,63,63,0,0
qt3d/tutorials/qt3d/cube1/cubeview.cpp,16,3,12,6,6,1,532,87,0,0,0,0,11,11,436,436,0,0
qt3d/tests/manual/shapes/main.cpp,4,1,50,25,25,1,342,87,0,0,0,0,11,11,436,436,0,0
qt3d/src/threed/network/qdownloadmanager.h,21,0,50,25,25,2,259,9,0,0,0,0,13,11,529,436,0,0
qt3d/src/threed/graphicsview/qgraphicstranslation3d.cpp,57,11,59,30,29,3,651,87,0,0,0,0,20,11,570,436,0,0
qt3d/demos/qt3d/photobrowser3d/buttons.h,14,0,48,24,24,1,630,87,0,0,0,0,11,11,436,436,0,0
qt3d/src/threed/textures/qareaallocator.cpp,414,83,50,25,25,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/code/LWOLoader.cpp,978,230,13,13,0,1,651,180,0,0,0,0,7,7,63,63,0,0
qt3d/examples/quick3d/matrix_animation/main.cpp,4,1,12,6,6,1,630,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/code/MDCFileData.h,73,0,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/Q3BSPFileParser.h,33,0,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/FindInvalidDataProcess.cpp,248,63,2,1,1,1,651,180,0,0,0,0,7,7,63,63,0,0
qt3d/3rdparty/assimp/contrib/zlib/inffast.c,216,35,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/DefaultIOStream.cpp,58,17,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/src/threed/effects/qglcolladafxeffect.cpp,262,33,58,31,27,2,651,87,0,0,0,0,18,11,499,436,0,0
qt3d/3rdparty/assimp/code/ColladaHelper.h,322,16,6,4,2,1,651,180,0,0,0,0,7,7,63,63,0,0
qt3d/src/threed/surfaces/qgldrawbuffersurface_p.h,20,2,50,25,25,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/tests/auto/threed/qglpainter/tst_qglpainter.cpp,602,51,50,25,25,2,651,87,0,1,1,0,14,11,448,436,0,0
qt3d/3rdparty/assimp/contrib/zlib/compress.c,42,7,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/src/imports/threed/qgraphicslookattransform.h,30,0,50,25,25,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/tools/qt3d/qglinfo/qglinfo.h,27,0,128,103,25,2,163,87,0,0,0,0,14,11,448,436,0,0
qt3d/3rdparty/assimp/code/RemoveVCProcess.h,27,2,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/XFileImporter.h,33,0,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/tests/auto/imports/qcapsulemesh/tst_qcapsulemesh.cpp,264,13,89,45,44,2,286,87,0,0,0,0,17,11,548,436,0,0
qt3d/src/threed/scene_bezier/qglbezierscenehandler.cpp,126,29,67,35,32,3,230,87,0,1,1,0,18,11,549,436,0,0
qt3d/src/threed/scene/qglrenderorder.cpp,84,16,50,25,25,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/code/aiAssert.cpp,7,1,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/src/threed/effects/qgllitmaterialeffect_p.h,19,0,50,25,25,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/src/threed/surfaces/qglsubsurface.h,25,0,50,25,25,2,651,9,0,0,0,0,13,11,529,436,0,0
qt3d/3rdparty/assimp/code/OgreImporter.cpp,550,85,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/MD3Loader.cpp,614,122,10,8,2,1,651,180,0,0,0,0,7,7,63,63,0,0
qt3d/examples/qt3d/builder/builder.cpp,109,7,22,11,11,2,630,87,0,0,0,0,17,11,548,436,0,0
qt3d/demos/qt3d/teaservice/meshobject.h,52,17,62,31,31,2,630,87,0,0,0,0,17,11,548,436,0,0
qt3d/tests/auto/threed/qplane3d/tst_qplane3d.cpp,313,29,63,29,34,2,651,87,0,0,0,0,13,11,451,436,0,0
qt3d/tests/manual/scaling/main.cpp,4,1,50,25,25,1,593,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/include/Compiler/poppack1.h,0,0,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/src/threed/scene/qglsceneformatplugin.cpp,78,17,50,25,25,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/src/threed/textures/qgltexture2d.h,59,0,52,26,26,2,651,9,0,0,0,0,13,11,529,436,0,0
qt3d/demos/qt3d/photobrowser3d/imagedisplay.h,36,2,56,28,28,2,630,87,0,0,0,0,17,11,548,436,0,0
qt3d/tools/qt3d/qglinfo/qglinfowindow.h,26,0,127,103,24,3,163,87,0,0,0,0,15,11,451,436,0,0
qt3d/examples/qt3d/tank/tank.cpp,76,7,14,7,7,2,630,87,0,0,0,0,17,11,548,436,0,0
qt3d/3rdparty/assimp/code/HMPFileData.h,41,0,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/Subdivision.cpp,310,66,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/src/threed/graphicsview/qgraphicsrotation3d.cpp,76,14,57,29,28,3,651,87,0,0,0,0,20,11,570,436,0,0
qt3d/3rdparty/assimp/code/MakeVerboseFormat.h,17,1,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/tutorials/qt3d/penguin_advanced/main.cpp,8,1,12,6,6,1,532,87,0,0,0,0,11,11,436,436,0,0
qt3d/src/threed/geometry/qglteapot_data_p.h,342,0,48,24,24,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/code/IFF.h,40,4,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/XFileHelper.h,113,15,2,1,1,1,651,180,0,0,0,0,7,7,63,63,0,0
qt3d/src/threed/geometry/qlogicalvertex.h,225,48,58,31,27,2,651,9,0,0,0,0,13,11,529,436,0,0
qt3d/src/threed/materials/qglmaterial_p.h,20,1,51,26,25,2,651,9,0,0,0,0,13,11,529,436,0,0
qt3d/demos/qt3d/teaservice/sceneobject.h,12,1,50,25,25,1,630,87,0,0,0,0,11,11,436,436,0,0
qt3d/src/threed/scene_ai/qaiscene.h,26,0,50,25,25,2,230,9,0,0,0,0,13,11,529,436,0,0
qt3d/tutorials/qt3d/cube3/cubeview.cpp,19,3,12,6,6,1,532,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/include/aiTexture.h,44,6,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/examples/qt3d/tank/main.cpp,34,5,12,6,6,1,630,87,0,0,0,0,11,11,436,436,0,0
qt3d/src/threed/geometry/qvector_utils_p.h,31,6,48,24,24,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/examples/qt3d/teapot/teapotview.cpp,15,3,12,6,6,1,630,87,0,0,0,0,11,11,436,436,0,0
qt3d/src/threed/surfaces/qglframebufferobjectsurface.h,22,0,50,25,25,2,651,9,0,0,0,0,13,11,529,436,0,0
qt3d/3rdparty/assimp/code/ImproveCacheLocality.cpp,192,40,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/src/quick3d/cylindermesh.cpp,156,31,67,34,33,4,294,87,0,0,0,0,23,11,578,436,0,0
qt3d/demos/qt3d/pageflip/pageflipmath.cpp,425,46,100,50,50,2,630,87,0,0,0,0,17,11,548,436,0,0
qt3d/src/threed/arrays/qglindexbuffer.h,37,1,54,27,27,2,651,9,0,0,0,0,13,11,529,436,0,0
qt3d/3rdparty/assimp/code/NDOLoader.cpp,166,40,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/src/threed/textures/qgltexture2d.cpp,504,110,51,27,24,2,651,87,0,0,0,0,18,11,499,436,0,0
qt3d/src/threed/geometry/qglmaterialcollection.cpp,156,35,50,25,25,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/examples/qt3d/teapot/main.cpp,33,5,12,6,6,1,630,87,0,0,0,0,11,11,436,436,0,0
qt3d/tests/auto/threed/qstereoimage/tst_qstereoimage.cpp,314,20,48,24,24,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/code/LineSplitter.h,96,24,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/ColladaParser.cpp,2062,564,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/src/threed/scene_bezier/qglbezierscenehandler.h,9,1,56,30,26,2,230,9,0,0,0,0,13,11,529,436,0,0
qt3d/src/threed/effects/qglcolladafxeffect.h,38,0,56,30,26,2,651,9,0,0,0,0,13,11,529,436,0,0
qt3d/demos/qt3d/cubehouse/cubeview.cpp,257,21,76,38,38,2,630,87,0,0,0,0,17,11,548,436,0,0
qt3d/src/threed/arrays/qvector2darray.cpp,88,19,60,30,30,2,651,87,0,0,0,0,17,11,548,436,0,0
qt3d/src/quick3d/qquickanimation3d.cpp,43,7,50,25,25,1,275,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/code/SpatialSort.cpp,157,35,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/SpatialSort.h,39,3,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/src/quick3d/qquickitem3d.h,132,2,98,48,50,4,275,9,0,1,1,0,21,11,644,436,0,0
qt3d/3rdparty/assimp/contrib/zlib/deflate.c,1014,268,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/src/threed/scene_bezier/qglbezierscene.cpp,22,4,48,24,24,1,230,87,0,0,0,0,11,11,436,436,0,0
qt3d/src/threed/surfaces/qglpaintersurface.cpp,35,8,50,25,25,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/demos/qt3d/cubehouse/main.cpp,39,8,50,25,25,1,630,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/code/IRRShared.cpp,359,81,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/tests/auto/threed/qglcolladafxeffectfactory/tst_qglcolladafxeffectfactory.cpp,186,14,50,25,25,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/code/Q3BSPZipArchive.cpp,108,22,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/src/quick3d/qmlres.cpp,70,10,16,10,6,2,271,9,0,0,0,0,12,11,438,436,0,0
qt3d/tests/auto/threed/qglpainter/qglsimulator.cpp,68,14,54,27,27,2,651,87,0,0,0,0,17,11,548,436,0,0
qt3d/3rdparty/assimp/code/MDLMaterialLoader.cpp,559,81,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/src/quick3d/cube.h,12,2,50,25,25,2,294,9,0,0,0,0,13,11,529,436,0,0
qt3d/src/threed/scene/qglsceneanimation.h,20,0,50,25,25,2,317,9,0,0,0,0,13,11,529,436,0,0
qt3d/3rdparty/assimp/code/ValidateDataStructure.h,47,0,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/PlyLoader.h,45,0,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/tests/auto/threed/qglrender/tst_qglrender.cpp,181,13,50,25,25,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/demos/qt3d/photobrowser3d/skybox.cpp,169,19,50,25,25,1,630,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/code/JoinVerticesProcess.cpp,224,50,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/src/threed/effects/qglshaderprogrameffect.cpp,484,86,101,25,76,2,651,84,0,0,0,0,12,11,438,436,0,0
qt3d/src/quick3d/cylindermesh.h,32,0,64,32,32,3,294,9,0,0,0,0,19,11,641,436,0,0
qt3d/demos/qt3d/pageflip/pageflipmath_p.h,39,9,54,27,27,2,630,87,0,0,0,0,17,11,548,436,0,0
qt3d/demos/qt3d/photobrowser3d/filescanner.h,22,1,48,24,24,1,630,87,0,0,0,0,11,11,436,436,0,0
qt3d/src/threed/scene/qglpicknode.h,26,4,54,29,25,2,651,9,0,0,0,0,13,11,529,436,0,0
qt3d/3rdparty/assimp/code/Q3BSPFileData.h,153,15,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/demos/qt3d/photobrowser3d/imagemanager.cpp,43,8,50,25,25,1,630,87,0,0,0,0,11,11,436,436,0,0
qt3d/src/threed/painting/qmatrix4x4stack.cpp,104,19,60,30,30,2,651,87,0,0,0,0,17,11,548,436,0,0
qt3d/src/threed/math3d/qray3d.h,80,13,58,29,29,3,651,9,0,0,0,0,15,11,544,436,0,0
qt3d/src/threed/geometry/qgeometrydata.h,119,2,74,39,35,3,651,9,0,0,0,0,19,11,641,436,0,0
qt3d/src/threed/surfaces/qglmaskedsurface.cpp,79,16,50,25,25,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/src/threed/geometry/qglsphere.h,21,5,58,29,29,3,651,9,0,0,0,0,19,11,641,436,0,0
qt3d/examples/qt3d/load_model/load_model.h,30,7,36,18,18,2,273,87,0,0,0,0,17,11,548,436,0,0
qt3d/tutorials/qt3d/cube4/cubeview.h,15,1,12,6,6,1,532,87,0,0,0,0,11,11,436,436,0,0
qt3d/examples/quick3d/positional_lighting/main.cpp,4,1,58,52,6,2,156,87,0,0,0,0,12,11,437,436,0,0
qt3d/3rdparty/assimp/code/COBLoader.h,65,0,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/MDLLoader.cpp,1224,213,2,1,1,1,651,180,0,0,0,0,7,7,63,63,0,0
qt3d/3rdparty/assimp/code/ASEParser.cpp,1616,459,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/PlyParser.h,191,16,2,1,1,1,651,180,0,0,0,0,7,7,63,63,0,0
qt3d/3rdparty/assimp/code/FileLogStream.h,36,6,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/tools/qt3d/qglinfo/main.cpp,15,3,112,88,24,2,163,87,0,0,0,0,14,11,448,436,0,0
qt3d/src/threed/materials/qglmaterial.cpp,265,56,57,29,28,3,651,87,0,0,0,0,20,11,570,436,0,0
qt3d/tutorials/qt3d/cube4/cubeview.cpp,22,3,12,6,6,1,532,87,0,0,0,0,11,11,436,436,0,0
qt3d/examples/qt3d/tank/quadplane.h,9,0,12,6,6,1,630,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/code/ConvertToLHProcess.h,41,0,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/PlyParser.cpp,678,132,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/tests/manual/rotation/main.cpp,4,1,50,25,25,1,593,87,0,0,0,0,11,11,436,436,0,0
qt3d/src/threed/arrays/qcustomdataarray.cpp,248,51,68,34,34,2,651,87,0,0,0,0,17,11,548,436,0,0
qt3d/src/threed/surfaces/qglframebufferobjectsurface.cpp,69,15,50,25,25,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/code/ObjFileData.h,169,15,1,1,0,1,651,180,0,0,0,0,7,7,63,63,0,0
