FILE,TLOC,VG,CHURN,ADD,DEL,TPC,AGE,LAST,BFC,PRE,BEFORE,REFAC,NS_SUM,NS_MAX,NF_SUM,NF_MAX,POST,AFTER
qt3d/src/threed/math3d/qsphere3d.cpp,114,21,98,49,49,2,651,87,0,0,0,0,13,11,451,436,0,0
qt3d/3rdparty/assimp/include/aiColor4D.h,21,4,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/RemoveComments.cpp,42,14,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/ImproveCacheLocality.h,19,0,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/src/threed/arrays/qcustomdataarray.h,305,41,145,73,72,3,651,9,0,0,0,0,19,11,641,436,0,0
qt3d/src/threed/scene/qglabstractscene.h,51,0,56,28,28,2,651,9,0,0,0,0,13,11,529,436,0,0
qt3d/examples/quick3d/cube/main.cpp,4,1,12,6,6,1,630,87,0,0,0,0,11,11,436,436,0,0
qt3d/examples/quick3d/basket/main.cpp,4,1,12,6,6,1,630,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/code/DXFLoader.h,42,1,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/tests/manual/fullreferencing/main.cpp,4,1,50,25,25,1,422,87,0,0,0,0,11,11,436,436,0,0
qt3d/examples/qt3d/basket/basketview.cpp,38,4,14,7,7,2,630,36,0,0,0,0,12,11,439,436,0,0
qt3d/3rdparty/assimp/code/Assimp.cpp,398,84,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/src/quick3d/line.cpp,54,10,57,29,28,4,294,87,0,0,0,0,23,11,578,436,0,0
qt3d/src/quick3d/qquickeffect.cpp,269,61,102,74,28,4,275,87,0,1,1,0,21,11,571,436,0,0
qt3d/src/threed/textures/qgltextureutils.cpp,477,102,52,27,25,2,651,87,0,0,0,0,12,11,437,436,0,0
qt3d/src/threed/textures/qgltexturecube.h,44,0,52,26,26,2,651,9,0,0,0,0,13,11,529,436,0,0
qt3d/src/threed/surfaces/qglpaintersurface_p.h,22,2,50,25,25,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/examples/qt3d/basket/basket_data.h,350,2,12,6,6,1,630,87,0,0,0,0,11,11,436,436,0,0
qt3d/src/quick3d/point.h,29,2,63,32,31,3,294,9,0,0,0,0,19,11,641,436,0,0
qt3d/src/threed/geometry/qglsection_p.h,53,4,50,25,25,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/tests/benchmarks/matrix_properties/tst_matrix_properties.cpp,99,9,52,26,26,2,651,87,0,0,0,0,17,11,548,436,0,0
qt3d/examples/qt3d/cylinder/cylinderview.h,15,1,12,6,6,1,630,87,0,0,0,0,11,11,436,436,0,0
qt3d/src/threed/geometry/qglbuilder.h,65,2,68,34,34,3,651,9,0,0,0,0,19,11,641,436,0,0
qt3d/tests/manual/animations/main.cpp,19,3,48,24,24,1,579,87,0,0,0,0,11,11,436,436,0,0
qt3d/tools/qt3d/qglinfo/qglinfowindow.cpp,99,12,212,187,25,2,163,87,0,0,0,0,14,11,448,436,0,0
qt3d/tests/auto/threed/qglscenenode/tst_qglscenenode.cpp,618,31,62,31,31,3,651,87,0,1,1,0,20,11,560,436,0,0
qt3d/3rdparty/assimp/include/aiConfig.h,15,0,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/Q3BSPFileImporter.cpp,524,89,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/LWOAnimation.cpp,323,87,4,4,0,1,651,180,0,0,0,0,7,7,63,63,0,0
qt3d/src/threed/global/qglnamespace.cpp,18,2,50,25,25,1,651,87,0,0,0,0,11,11,436,436,0,0
qt3d/examples/qt3d/basket/basketview.h,19,3,20,10,10,2,630,87,0,0,0,0,17,11,548,436,0,0
qt3d/3rdparty/assimp/code/MDLLoader.h,103,0,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/RawLoader.h,39,2,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/FixNormalsStep.cpp,79,21,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/DefaultIOSystem.h,13,0,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/contrib/unzip/ioapi.c,114,15,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/src/threed/arrays/qvector3darray.h,34,6,69,35,34,3,651,9,0,0,0,0,19,11,641,436,0,0
qt3d/demos/qt3d/photobrowser3d/qatlas.h,42,7,48,24,24,1,630,87,0,0,0,0,11,11,436,436,0,0
qt3d/3rdparty/assimp/code/StdOStreamLogStream.h,21,3,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/GenVertexNormalsProcess.h,23,1,0,0,0,0,651,651,0,0,0,0,0,0,0,0,0,0
qt3d/3rdparty/assimp/code/ValidateDataStructure.cpp,734,186,2,1,1,1,651,180,0,0,0,0,7,7,63,63,0,0
